ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,545,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateVideos.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,545,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.chkMigrateVideos.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,544,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateVideos.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,544,12,P:System.Windows.Forms.CheckBox.Checked,,,,,this.chkMigrateVideos.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,543,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateVideos.Text = ""Vidéos"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,543,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.chkMigrateVideos.Text = ""Vidéos"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,542,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateVideos.Location = new Point(300, 53);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,542,12,P:System.Windows.Forms.Control.Location,,,,,"this.chkMigrateVideos.Location = new Point(300, 53);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,540,12,T:System.Drawing.Font,,,,,"this.chkMigrateMusic.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,540,12,"M:System.Drawing.Font.#ctor(System.String,System.Single)",,,,,"this.chkMigrateMusic.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,540,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateMusic.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,540,12,T:System.Drawing.Font,,,,,"this.chkMigrateMusic.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,540,12,P:System.Windows.Forms.Control.Font,,,,,"this.chkMigrateMusic.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,539,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateMusic.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,539,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.chkMigrateMusic.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,538,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateMusic.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,538,12,P:System.Windows.Forms.CheckBox.Checked,,,,,this.chkMigrateMusic.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,537,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateMusic.Text = ""Musique"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,537,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.chkMigrateMusic.Text = ""Musique"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,536,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateMusic.Location = new Point(300, 25);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,536,12,P:System.Windows.Forms.Control.Location,,,,,"this.chkMigrateMusic.Location = new Point(300, 25);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,534,12,T:System.Drawing.Font,,,,,"this.chkMigratePictures.Font = new Font(""Segoe UI"", 9F);"
